player_name,shot_type,fga,fgm,pps,fg_pct,rate
Rasheed Wallace,dunk,1228,1086,1.768729641693811,0.8843648208469055,0.0947238506633755
Aaron Gordon,dunk,1169,1075,1.8391787852865698,0.9195893926432849,0.1530906233630173
Josh Smith,dunk,1125,1071,1.904,0.952,0.10003556820202739
Chris Webber,dunk,1141,1055,1.8492550394390885,0.9246275197195443,0.08932905347216785
Rudy Gay,dunk,1215,1051,1.7300411522633745,0.8650205761316873,0.08225577144404576
Kobe Bryant,dunk,1121,1044,1.8626226583407672,0.9313113291703836,0.04278952591800901
Carmelo Anthony,dunk,1104,1024,1.855072463768116,0.927536231884058,0.04875679017797995
Bam Adebayo,dunk,1120,1020,1.8214285714285714,0.9107142857142857,0.1753012991078416
Ben Wallace,dunk,1183,1018,1.7210481825866442,0.8605240912933221,0.2182254196642686
Vince Carter,dunk,1084,1004,1.8523985239852399,0.9261992619926199,0.050803768102357406
Samuel Dalembert,dunk,1091,998,1.8295142071494042,0.9147571035747021,0.2022992768403486
Brook Lopez,dunk,1047,973,1.8586437440305634,0.9293218720152817,0.07786123298877073
Jermaine O'Neal,dunk,1043,966,1.8523489932885906,0.9261744966442953,0.0946031746031746
Shareef Abdur-Rahim,dunk,1010,944,1.8693069306930694,0.9346534653465347,0.08770406391108024
Derrick Favors,dunk,1016,939,1.8484251968503937,0.9242125984251969,0.15857655689090058
Antonio McDyess,dunk,1013,914,1.8045409674234947,0.9022704837117473,0.1091594827586207
Chris Bosh,dunk,1000,906,1.812,0.906,0.07948493760432399
Alonzo Mourning,dunk,942,902,1.9150743099787686,0.9575371549893843,0.16942446043165468
LaMarcus Aldridge,dunk,976,896,1.8360655737704918,0.9180327868852459,0.057847321005215745
Montrezl Harrell,dunk,974,893,1.8336755646817249,0.9168377823408624,0.24055322301802914
Ivica Zubac,dunk,992,886,1.7862903225806452,0.8931451612903226,0.24874623871614845
Hassan Whiteside,dunk,935,885,1.893048128342246,0.946524064171123,0.2040148374427231
