player_name,shot_type,fga,fgm,pps,fg_pct,rate
Giannis Antetokounmpo,dunk,271,243,1.7933579335793357,0.8966789667896679,0.20545868081880211
Rudy Gobert,dunk,252,225,1.7857142857142858,0.8928571428571429,0.49411764705882355
Jalen Duren,dunk,241,219,1.8174273858921162,0.9087136929460581,0.4413919413919414
Evan Mobley,dunk,199,192,1.92964824120603,0.964824120603015,0.2196467991169978
Ivica Zubac,dunk,191,177,1.8534031413612566,0.9267015706806283,0.20276008492569003
Jarrett Allen,dunk,174,159,1.8275862068965518,0.9137931034482759,0.271875
Amen Thompson,dunk,148,138,1.864864864864865,0.9324324324324325,0.21233859397417504
OG Anunoby,dunk,144,132,1.8333333333333333,0.9166666666666666,0.14021421616358326
Walker Kessler,dunk,138,131,1.8985507246376812,0.9492753623188406,0.32935560859188545
Kel'el Ware,dunk,150,129,1.72,0.86,0.3232758620689655
Bam Adebayo,dunk,137,125,1.8248175182481752,0.9124087591240876,0.12309074573225516
Jaxson Hayes,dunk,130,121,1.8615384615384616,0.9307692307692308,0.5829596412556054
Nic Claxton,dunk,130,119,1.8307692307692307,0.9153846153846154,0.22887323943661972
Yves Missi,dunk,146,116,1.5890410958904109,0.7945205479452054,0.2967479674796748
Daniel Gafford,dunk,131,113,1.7251908396946565,0.8625954198473282,0.3250620347394541
Derrick Jones Jr.,dunk,123,112,1.8211382113821137,0.9105691056910569,0.20882852292020374
Mark Williams,dunk,118,109,1.847457627118644,0.923728813559322,0.2639821029082774
Ausar Thompson,dunk,125,107,1.712,0.856,0.2717391304347826
Trayce Jackson-Davis,dunk,117,101,1.7264957264957266,0.8632478632478633,0.38741721854304634
Christian Braun,dunk,102,94,1.8431372549019607,0.9215686274509803,0.12423873325213154
Zach Edey,dunk,102,94,1.8431372549019607,0.9215686274509803,0.23556581986143188
Onyeka Okongwu,dunk,99,91,1.8383838383838385,0.9191919191919192,0.14473684210526316
Victor Wembanyama,dunk,98,91,1.8571428571428572,0.9285714285714286,0.11435239206534423
Isaiah Hartenstein,dunk,96,89,1.8541666666666667,0.9270833333333334,0.2
Michael Porter Jr.,dunk,101,88,1.7425742574257426,0.8712871287128713,0.09637404580152671
Clint Capela,dunk,102,87,1.7058823529411764,0.8529411764705882,0.26153846153846155
Goga Bitadze,dunk,98,87,1.7755102040816326,0.8877551020408163,0.2890855457227139
Luke Kornet,dunk,99,86,1.7373737373737375,0.8686868686868687,0.3535714285714286
Anthony Davis,dunk,90,86,1.9111111111111112,0.9555555555555556,0.0989010989010989
Nick Richards,dunk,100,83,1.66,0.83,0.2881844380403458
Domantas Sabonis,dunk,87,80,1.839080459770115,0.9195402298850575,0.09742441209406495
Jayson Tatum,dunk,87,79,1.8160919540229885,0.9080459770114943,0.059385665529010236
Moussa Diabaté,dunk,92,78,1.6956521739130435,0.8478260869565217,0.32857142857142857
Wendell Carter Jr.,dunk,88,78,1.7727272727272727,0.8863636363636364,0.17922606924643583
Jeremy Sochan,dunk,91,77,1.6923076923076923,0.8461538461538461,0.19402985074626866
Karl-Anthony Towns,dunk,86,76,1.7674418604651163,0.8837209302325582,0.07078189300411522
Obi Toppin,dunk,77,74,1.922077922077922,0.961038961038961,0.1285475792988314
Trey Murphy III,dunk,78,73,1.8717948717948718,0.9358974358974359,0.09296781883194279
Bilal Coulibaly,dunk,80,72,1.8,0.9,0.1282051282051282
LeBron James,dunk,71,71,2.0,1.0,0.05590551181102362
Deandre Ayton,dunk,77,71,1.844155844155844,0.922077922077922,0.16452991452991453
Jalen Williams,dunk,81,70,1.728395061728395,0.8641975308641975,0.06934931506849315
Stephon Castle,dunk,77,69,1.7922077922077921,0.8961038961038961,0.07793522267206478
Zaccharie Risacher,dunk,75,68,1.8133333333333332,0.9066666666666666,0.0962772785622593
Zach LaVine,dunk,73,68,1.8630136986301369,0.9315068493150684,0.059689288634505316
Rui Hachimura,dunk,75,67,1.7866666666666666,0.8933333333333333,0.13020833333333334
Dereck Lively II,dunk,75,66,1.76,0.88,0.39267015706806285
Keegan Murray,dunk,71,66,1.8591549295774648,0.9295774647887324,0.08658536585365853
