season,shot_type,fga,fgm,pps,fg_pct,rate
1996-97,dunk,9046,8537,1.88746407251824,0.94373203625912,0.047966742492934374
1996-97,3pt_all,39941,14382,1.0802433589544578,0.3600811196514859,0.21178859848665615
1996-97,corner,5757,2293,1.1948931735278792,0.398297724509293,0.03052670092105054
1996-97,3pt_above,34189,12091,1.0609552780133962,0.3536517593377987,0.18128841024662096
1996-97,mid,75296,30308,0.8050361240968976,0.4025180620484488,0.399259765946052
1997-98,dunk,10023,9327,1.86111942532176,0.93055971266088,0.05288177443862907
1997-98,3pt_all,30233,10450,1.0369463830913241,0.34564879436377466,0.1595105942934324
1997-98,corner,5566,2071,1.1162414660438376,0.3720804886812792,0.02936645281107547
1997-98,3pt_above,24679,8383,1.01904453178816,0.33968151059605334,0.130207453992909
1997-98,mid,69843,27175,0.7781739043282792,0.3890869521641396,0.36849463954077327
1998-99,dunk,5074,4683,1.8458809617658651,0.9229404808829326,0.044753345034707216
1998-99,3pt_all,19079,6463,1.0162482310393626,0.3387494103464542,0.16827928063011016
1998-99,corner,4130,1543,1.120823244552058,0.3736077481840194,0.036427141307319826
1998-99,3pt_above,14952,4923,0.987760834670947,0.32925361155698235,0.13187859971599178
1998-99,mid,42028,15980,0.7604454173408204,0.3802227086704102,0.37069246849008175
1999-00,dunk,9088,8325,1.8320862676056338,0.9160431338028169,0.0465526073148243
1999-00,3pt_all,32615,11513,1.0589912616894066,0.3529970872298022,0.16706792336850732
1999-00,corner,7822,3015,1.1563538736895935,0.3854512912298645,0.04006761602294847
1999-00,3pt_above,24806,8502,1.0282189792792067,0.3427396597597355,0.12706689888331113
1999-00,mid,74648,29478,0.7897867323973851,0.39489336619869253,0.38237885462555066
2000-01,dunk,8777,7932,1.807451293152558,0.903725646576279,0.04579415846646701
2000-01,3pt_all,32596,11524,1.0606209350840594,0.35354031169468647,0.17007022779685071
2000-01,corner,8085,3079,1.1424860853432282,0.3808286951144094,0.042183635775479754
2000-01,3pt_above,24524,8448,1.0334366335018756,0.3444788778339586,0.12795441975978544
2000-01,mid,72687,28417,0.7819004773893543,0.39095023869467715,0.3792457555488308
2001-02,dunk,9323,8451,1.8129357502949695,0.9064678751474847,0.04824295863928259
2001-02,3pt_all,35063,12395,1.0605196360836209,0.35350654536120696,0.1814376122245163
2001-02,corner,8562,3276,1.1478626489138053,0.3826208829712684,0.0443050747473493
2001-02,3pt_above,26523,9124,1.0320099536251555,0.34400331787505184,0.1372463790614279
2001-02,mid,71739,28091,0.7831444542020379,0.39157222710101897,0.37122188242234194
2002-03,dunk,9046,8255,1.8251160734026088,0.9125580367013044,0.0470878511678266
2002-03,3pt_all,34913,12200,1.0483201099876838,0.34944003666256124,0.18173536898323348
2002-03,corner,9276,3414,1.1041397153945667,0.3680465717981889,0.04828508815307976
2002-03,3pt_above,25642,8787,1.0280399344824898,0.3426799781608299,0.13347630772113747
2002-03,mid,70958,27455,0.7738380450407283,0.38691902252036414,0.36936322608519123
2003-04,dunk,8915,8131,1.824116657319125,0.9120583286595625,0.046969752849006605
2003-04,3pt_all,35493,12322,1.04150114107007,0.3471670470233567,0.1869991517520798
2003-04,corner,9568,3610,1.1318979933110367,0.3772993311036789,0.050410162115456555
2003-04,3pt_above,25934,8716,1.008251715894193,0.3360839052980643,0.13663640722222514
2003-04,mid,67657,25849,0.7641190120756167,0.38205950603780836,0.356459065452074
2004-05,dunk,10021,9152,1.826564215148189,0.9132821075740944,0.050706890793721475
2004-05,3pt_all,38748,13777,1.066661505109941,0.35555383503664706,0.19606731907744931
2004-05,corner,10848,4156,1.1493362831858407,0.3831120943952802,0.05489156285104187
2004-05,3pt_above,27913,9625,1.034464228137427,0.34482140937914235,0.14124153704472084
2004-05,mid,70034,27469,0.7844475540451781,0.39222377702258904,0.35437644844301863
2005-06,dunk,9437,8633,1.8296068665889584,0.9148034332944792,0.048565723519664046
2005-06,3pt_all,39313,14086,1.0749116068476077,0.3583038689492026,0.20231686857354592
2005-06,corner,11077,4307,1.1664710661731517,0.38882368872438383,0.0570056712331587
2005-06,3pt_above,28257,9787,1.0390699649644335,0.34635665498814455,0.1454192698415966
2005-06,mid,66926,26627,0.7957146699339569,0.39785733496697845,0.3444219150447214
2006-07,dunk,9077,8321,1.8334251404649113,0.9167125702324557,0.046294218450365174
2006-07,3pt_all,41671,14926,1.0745602457344436,0.35818674857814786,0.21252907095352727
2006-07,corner,11708,4496,1.1520327980867782,0.3840109326955928,0.05971275857848137
2006-07,3pt_above,29975,10436,1.0444703919933278,0.34815679733110927,0.15287751438247174
2006-07,mid,64759,25839,0.7980049105143686,0.3990024552571843,0.3302817332408503
2007-08,dunk,10128,9261,1.8287914691943128,0.9143957345971564,0.050513463773248016
2007-08,3pt_all,44544,16124,1.0859375,0.3619791666666667,0.22216348048139412
2007-08,corner,12162,4806,1.1854958066107548,0.3951652688702516,0.06065805158079012
2007-08,3pt_above,32400,11324,1.0485185185185186,0.3495061728395062,0.16159520401394506
2007-08,mid,65986,26528,0.8040493438002,0.4020246719001,0.329105590495808
2008-09,dunk,10242,9361,1.8279632884202304,0.9139816442101152,0.05145957895794604
2008-09,3pt_all,44559,16344,1.1003837608563927,0.3667945869521309,0.22388082198663517
2008-09,corner,12691,5003,1.1826491214246315,0.39421637380821056,0.06376425664472693
2008-09,3pt_above,31884,11345,1.0674633044787354,0.3558211014929118,0.16019695523287947
2008-09,mid,63990,25686,0.8028129395218003,0.40140646976090016,0.32150932020298445
2009-10,dunk,9624,8785,1.8256442227763923,0.9128221113881961,0.04788869759063722
